End of Year,Total Membership,Children of Record,Baptisms of Children of Record,Convert Baptisms,Total Baptisms,Convert Children of Record,Births to Active Members,Mormon Birth Rate,Mormon Death Rate,Mormon Life Expectancy,Birth Rate (Fractional),Children per Woman,Female/Male Ratio,Stakes,Missions,Wards and Branches,Wards and Branches in Stakes,Branches,Wards,Branches in Stakes,Branches in Missions,Members in Stakes,Members in Missions,Members per Ward,Sunday School Attendance,Full Time Missionaries,New Missionaries,Average Mission Length (years),New Senior Missionaries,New Male Missionaries,New Female Missionaries,Total Senior Missionaries,Total Male Missionaries,Total Female Missionaries,15 Y/O,16 Y/O,17 Y/O,18 Y/O,19 Y/O,Seminary Enrollment,Activity by Births,Activity by Ward Size,Activity by Stake Size,Activity by Sunday School Attendance,Activity by Missionaries,Activity by Seminary Enrollment,Activity Rate,Gone Inactive,Active Mormons,Inactive Mormons,Deaths of Active Members,Inactives who reach Age 110,Record Adjustments,"Names Removed
Raw",Manual Corrections,Cumulative Corrections,Names Removed,Former Mormons
1830,6,0,0,6,6,0,0,57.6,50,39.5,1.0576,6.5,0.5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,6,0,0,0,,,,,0,0
1830,280,40,0,274,274,32,8,57.6,50,39.5,1.0428,6.5,0.5,0,0,4,0,0,0,0,0,,,,,,16,1.86,,,,,,,,,,,,,,,,,,,96.8,9,271,9,7,0,,,,,1,1
1831,680,74,13,398,411,46,28,58.4,50,39.5,1.0428,6.59,0.5,0,0,6,0,0,0,0,0,,,,,,58,1.86,,,,,,,,,,,,,,,,,,,95.6,21,650,30,23,0,,,,,3,3
1832,2661,330,22,1974,1996,231,99,59.2,50,39.5,1.0428,6.68,0.5,0,0,33,0,0,0,0,0,,,,,,72,1.86,,,,,,,,,,,,,,,,,,,95.8,82,2550,111,80,0,,,,,12,14
1833,3140,227,64,455,519,53,174,60,50,39.5,1.0429,6.77,0.5,0,0,40,0,0,0,0,0,,,,,,41,1.86,,,,,,,,,,,,,,,,,,,93.6,97,2938,202,136,0,,,,,14,27
1834,4372,368,59,1198,1257,140,228,60.8,50,39.5,1.0429,6.86,0.5,2,0,40,22,18,22,0,18,,,,,,111,1.86,,,,,,,,,,,,,,,,,,,92.5,136,4044,328,174,0,,,,,20,45
1835,8835,922,69,4404,4473,515,407,61.6,50,39.5,1.0428,6.95,0.5,2,0,48,22,26,22,0,26,,,,,,84,1.86,,,,,,,,,,,,,,,,,,,93.4,274,8249,586,308,0,,,,,40,82
1836,13293,1198,119,4342,4461,508,690,62.4,50,39.5,1.0427,7.04,0.5,2,0,54,25,29,25,0,29,,,,,,80,1.86,,,,,,,,,,,,,,,,,,,92.7,412,12324,969,513,0,,,,,61,138
1837,16282,1263,154,2802,2956,328,935,63.2,50,39.5,1.0426,7.13,0.5,2,1,67,25,42,25,0,42,,,,,123,52,1.86,,,,,,,,,,,,,,,,,,,91.2,505,14856,1426,674,0,,,,,74,205
1838,17881,1251,223,1350,1573,158,1093,64,50,39.5,1.0426,7.22,0.5,2,1,91,26,65,26,0,65,,,,,63,16,1.86,,,,,,,,,,,,,,,,,,,89.3,554,15972,1909,763,0,,,,,81,275
1839,16460,1195,262,703,965,82,1113,64.8,50,39.5,1.0425,7.31,0.5,3,2,86,16,70,16,0,70,,,,,77,67,1.86,,,,,,,,,,,,,,,,,,,85.9,510,14136,2324,737,0,,,,,2500,2761
1840,16865,1152,517,510,1027,59,1093,65.6,50,39.5,1.0424,7.4,0.5,3,2,87,18,69,18,0,69,,,,,137,80,1.86,,,,,,,,,,,,,,,,,,,83.8,523,14134,2731,698,0,,,,,500,3122
1841,19856,1509,398,2651,3049,310,1199,65.3,50,39.5,1.0423,7.41,0.4969,2,2,103,19,84,19,0,84,,,,,167,100,1.86,,,,,,,,,,,,,,,,,,,83.8,616,16646,3210,769,0,,,,,90,3055
1842,23564,1797,564,3318,3882,388,1409,64.9,50,39.5,1.0423,7.42,0.4937,2,2,225,26,199,26,0,199,,,,,135,45,1.86,,,,,,,,,,,,,,,,,,,84,730,19784,3780,912,0,,,,,107,3009
1843,25980,1829,1138,1963,3101,229,1600,64.6,50,39.5,1.0422,7.43,0.4906,2,2,269,31,238,31,0,238,,,,,390,374,1.86,,,,,,,,,,,,,,,,,,,83.1,805,21584,4396,1029,0,,,,,118,2976
1844,26146,1973,1383,2544,3927,297,1676,64.3,50,39.5,1.0422,7.44,0.4875,2,3,272,33,239,33,0,239,,,,,893,586,1.86,,,,,,,,,,,,,,,,,,,80.9,811,21159,4987,1054,0,,,,,3000,5827
1845,30332,2236,1430,3665,5095,429,1807,64,50,39.5,1.0422,7.45,0.4844,1,4,311,34,277,34,0,277,,,,,623,84,1.86,,,,,,,,,,,,,,,,,,,81.3,940,24654,5678,1148,0,,,,,138,5673
